atom_1,atom_2,atom_3,atom_4,atom_indices,element_1,element_2,element_3,element_4,elements,parameter_type,parameter_id,parameter_smirks,value,energy,qcarchive_id,grid_id,mapped_smiles,forcefield
6,7,-1,-1,"(6, 7)",C,C,,,"('C', 'C')",Bonds,b1,[#6X4:1]-[#6X4:2],1.530639385345912,0.0018305762710541967,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
6,8,-1,-1,"(6, 8)",C,C,,,"('C', 'C')",Bonds,b1,[#6X4:1]-[#6X4:2],1.5023784308267407,0.20980549913971452,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
6,15,-1,-1,"(6, 15)",C,H,,,"('C', 'H')",Bonds,b84,[#6X4:1]-[#1:2],1.0951509677228528,0.00029871956944777607,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
6,16,-1,-1,"(6, 16)",C,H,,,"('C', 'H')",Bonds,b84,[#6X4:1]-[#1:2],1.0964789756557733,0.0018018501753875977,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
7,8,-1,-1,"(7, 8)",C,C,,,"('C', 'C')",Bonds,b1,[#6X4:1]-[#6X4:2],1.53168845629354,0.0007491400683121356,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
7,17,-1,-1,"(7, 17)",C,H,,,"('C', 'H')",Bonds,b84,[#6X4:1]-[#1:2],1.0959065793368736,0.000998670490911416,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
8,9,-1,-1,"(8, 9)",C,N,,,"('C', 'N')",Bonds,b7,[#6:1]-[#7:2],1.5026909846846872,0.16426018692409605,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
8,18,-1,-1,"(8, 18)",C,H,,,"('C', 'H')",Bonds,b84,[#6X4:1]-[#1:2],1.1034304839117552,0.030336509033879362,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
9,19,-1,-1,"(9, 19)",N,H,,,"('N', 'H')",Bonds,b87,[#7:1]-[#1:2],1.029008045958192,0.06838698288542477,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
9,20,-1,-1,"(9, 20)",N,H,,,"('N', 'H')",Bonds,b87,[#7:1]-[#1:2],1.019821547045074,0.003524113552125472,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
